avid_student_yesno,user_email,first_name,last_name,avid_user_generation,avid_preferred_language,avid_preferred_language_other,avid_user_timezone,avid_user_days,avid_user_meetupday_sunday,avid_user_meetupday_Monday,avid_user_meetupday_tuesday,avid_user_meetupday_wednesday,avid_user_meetupday_thursday,avid_user_meetupday_friday,avid_user_meetupday_saturday,what_group,avid_user_meetuptime_sunday_morning,avid_user_meetuptime_sunday_afternoon,avid_user_meetuptime_sunday_evening,avid_user_meetuptime_monday_morning,avid_user_meetuptime_monday_afternoon,avid_user_meetuptime_monday_evening,avid_user_meetuptime_tuesday_morning,avid_user_meetuptime_tuesday_afternoon,avid_user_meetuptime_tuesday_evening,avid_user_meetuptime_wednesday_morning,avid_user_meetuptime_wednesday_afternoon,avid_user_meetuptime_wednesday_evening,avid_user_meetuptime_thursday_morning,avid_user_meetuptime_thursday_afternoon,avid_user_meetuptime_thursday_evening,avid_user_meetuptime_friday_morning,avid_user_meetuptime_friday_afternoon,avid_user_meetuptime_friday_evening,avid_user_meetuptime_saturday_morning,avid_user_meetuptime_saturday_afternoon,avid_user_meetuptime_saturday_evening
yes,B_Park@gmail.com,Bonnie,Parker,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Wednesday,Thursday,Friday",Sunday Afternoon,,,Wednesday Afternoon,"Thursday Afternoon,Thursday Evening","Friday Afternoon,Friday Evening",,miami,,"time14,time16",,,,,,,,,time12,,,time14,time18,,time16,time18,,,
yes,C_Barr@gmail.com,Clyde,Barrow,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Tuesday,Thursday,Friday",,,Tuesday Morning,,Thursday Morning,Friday Morning,,miami,,,,,,,time10,,,,,,time8,,,time10,,,,,
,D_Came@gmail.com,Dove,Cameron,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Wednesday,Thursday,Friday",,"Monday Morning,Monday Afternoon","Tuesday Morning,Tuesday Afternoon","Wednesday Morning,Wednesday Afternoon","Thursday Morning,Thursday Afternoon","Friday Morning,Friday Afternoon",,,,,,"time6,time8,time10","time12,time14,time16",,,,,,,,"time6,time8,time10","time12,time14,time16",,"time6,time8,time10","time12,time14,time16",,,,
,S_Carp@gmail.com,Sabrina,Carpenter,Silent Generation (1925-1945),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday",,Monday Afternoon,Tuesday Afternoon,,,,,miami,,,,,time14,,,time14,,,,,,,,,,,,,
no,O_Rodr@gmail.com,Olivia,Rodrego,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Saturday","Sunday Afternoon,Sunday Evening",Monday Afternoon,,,,,"Saturday Morning,Saturday Afternoon",myaamia,,time16,"time18,time20",,time14,,,,,,,,,,,,,,time10,"time12,time14",
yes,H_Berr@gmail.com,Holly,Berry,Gen Z or younger (1998 or after),"English,Chinese",,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima",Wednesday,,,,Wednesday Afternoon,,,,miami,,,,,,,,,,,time16,,,,,,,,,,
,H_Mont@gmail.com,Hannah,Montana,Silent Generation (1925-1945),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Tuesday,Wednesday",,,Tuesday Morning,Wednesday Morning,,,,miami,,,,,,,time10,,,time10,,,,,,,,,,,
no,B_Ray@gmail.com,Billy,Ray,Silent Generation (1925-1945),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Wednesday",,Monday Evening,,Wednesday Afternoon,,,,miami,,,,,,time18,,,,,time12,,,,,,,,,,
no,J_Doe@gmail.com,John,Doe,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Tuesday,Wednesday,Thursday",Sunday Evening,Monday Evening,Tuesday Evening,Wednesday Evening,Thursday Evening,,,miami,,,time18,,,time18,,,time18,,,time18,,,time18,,,,,,
no,J_Donu@gmail.com,Jane,Donut,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Thursday",,Monday Afternoon,Tuesday Morning,,Thursday Morning,,,miami,,,,,,,,,,,,,,,,,,,,,
yes,C_McCa@gmail.com,Chris,McCandles,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima",Friday,,,,,,Friday Afternoon,,miami,,,,,,,,,,,,,,,,,time16,,,,
,L_Pete@gmail.com,Lizzie,Peterson,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Wednesday,Thursday,Friday",,Monday Morning,Tuesday Morning,Wednesday Morning,"Thursday Morning,Thursday Afternoon",Friday Afternoon,,miami,,,,"time6,time8",,,"time6,time8,time10",,,"time6,time8",,,"time6,time8","time14,time16",,,"time14,time16",,,,
yes,B_Till@gmail.com,Bess,Tilly,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima",Tuesday,,,Tuesday Morning,,,,,miami,,,,,,,time10,,,,,,,,,,,,,,
yes,A_Finc@gmail.com,Atticus,Finch,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Tuesday,Saturday",Sunday Morning,Monday Afternoon,"Tuesday Morning,Tuesday Afternoon",,,,Saturday Morning,miami,time8,,,,"time14,time16",,"time6,time8,time10",time12,,,,,,,,,,,time10,,
yes,B_Spea@gmail.com,Brittney,Spears,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Wednesday,Friday,Saturday",Sunday Afternoon,,,Wednesday Afternoon,,Friday Afternoon,Saturday Afternoon,miami,,"time12,time14",,,,,,,,,time14,,,,,,"time12,time14",,,"time12,time14",
no,T_Swif@gmail.com,Taylor,Swift,Baby Boomer (1946-1964),English,English,"(GMT -6:00) Central Time (US & Canada), Mexico City","Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday","Sunday Morning,Sunday Evening","Monday Morning,Monday Afternoon","Tuesday Morning,Tuesday Afternoon","Wednesday Afternoon,Wednesday Evening","Thursday Afternoon,Thursday Evening",,"Saturday Morning,Saturday Afternoon",miami,"time6,time8,time10",,"time18,time20","time6,time8,time10","time12,time14,time16",,"time6,time8,time10","time12,time14,time16",,,"time12,time14,time16","time18,time20",,"time12,time14,time16","time18,time20",,,,"time6,time8,time10","time12,time14,time16",
,T_Laut@gmail.com,Tayler,Lautner,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Wednesday,Thursday,Friday",,Monday Evening,Tuesday Morning,Wednesday Morning,Thursday Morning,Friday Morning,,myaamia,,,,,,time20,time6,,,time6,,,time6,,,time6,,,,,
,C_Clin@gmail.com,Charlie,Clint,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Tuesday,Thursday,Friday,Saturday","Sunday Morning,Sunday Afternoon","Monday Morning,Monday Afternoon","Tuesday Afternoon,Tuesday Evening",,"Thursday Afternoon,Thursday Evening","Friday Morning,Friday Afternoon,Friday Evening",Saturday Morning,miami,"time6,time8,time10",,,,,,,"time12,time14,time16","time18,time20",,,,,"time12,time14,time16","time18,time20","time6,time8,time10","time12,time14,time16","time18,time20","time6,time8,time10",,
no,B_Murp@gmail.com,Brian,Murphy,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima",Sunday,Sunday Morning,,,,,,,miami,time6,,,,,,,,,,,,,,,,,,,,
yes,J_Herw@gmail.com,Jake,Herwitz,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Thursday",Sunday Morning,Monday Evening,,,Thursday Afternoon,,,miami,time10,,,,,time20,,,,,,,,time16,,,,,,,
yes,M_Wilc@gmail.com,Mattie,Wilcox,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Friday,Saturday",Sunday Afternoon,,,,,Friday Afternoon,Saturday Morning,miami,,"time12,time14",,,,,,,,,,,,,,,"time12,time14,time16",,time10,,
yes,C_Murp@gmail.com,Cilian,Murphy,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Tuesday,Wednesday,Thursday",,,Tuesday Evening,"Wednesday Afternoon,Wednesday Evening","Thursday Afternoon,Thursday Evening",,,miami,,,,,,,,,time20,,time16,time20,,time16,time20,,,,,,
yes,T_Swin@gmail.com,Tilda,Swinton,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Thursday,Friday",,,,,Thursday Afternoon,Friday Afternoon,,miami,,,,,,,,,,,,,,time12,,,"time12,time14",,,,
yes,R_Swan@gmail.com,Ron,Swanson,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Friday",Sunday Evening,Monday Afternoon,,,,Friday Afternoon,,miami,,,time18,,time14,,,,,,,,,,,,time14,,,,
,V_Barr@gmail.com,Victoria,Barrow,Baby Boomer (1946-1964),English,none,(GMT -8:00) Pacific Time (US & Canada),"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Sunday Afternoon,Sunday Evening","Monday Afternoon,Monday Evening","Tuesday Afternoon,Tuesday Evening","Wednesday Afternoon,Wednesday Evening",Thursday Evening,"Friday Afternoon,Friday Evening",Saturday Afternoon,miami,,"time12,time14,time16","time18,time20",,"time12,time14,time16","time18,time20",,"time12,time14,time16","time18,time20",,"time12,time14,time16","time18,time20",,,"time18,time20",,"time12,time14,time16","time18,time20",,"time12,time14,time16",
no,K_Came@gmail.com,Kelsie,Cameron,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday","Sunday Morning,Sunday Afternoon,Sunday Evening","Monday Morning,Monday Afternoon,Monday Evening","Tuesday Morning,Tuesday Afternoon,Tuesday Evening","Wednesday Morning,Wednesday Afternoon,Wednesday Evening","Thursday Morning,Thursday Afternoon,Thursday Evening","Friday Morning,Friday Afternoon,Friday Evening","Saturday Morning,Saturday Afternoon,Saturday Evening",miami,"time8,time10","time12,time14,time16","time18,time20","time8,time10","time12,time14,time16","time18,time20","time8,time10","time12,time14,time16","time18,time20","time8,time10","time12,time14,time16","time18,time20","time8,time10","time12,time14,time16","time18,time20","time8,time10","time12,time14,time16","time18,time20","time8,time10","time12,time14,time16","time18,time20"
yes,T_Carp@gmail.com,Tracy,Carpenter,Gen Z or younger (1998 or after),Chinese,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima",Saturday,,,,,,,Saturday Afternoon,miami,,,,,,,,,,,,,,,,,,,,,
yes,C_Rodr@gmail.com,Carrie,Rodrego,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Wednesday,Thursday",,"Monday Morning,Monday Afternoon",Tuesday Afternoon,"Wednesday Afternoon,Wednesday Evening","Thursday Morning,Thursday Afternoon",,,miami,,,,time10,"time12,time16",,,"time14,time16",,,"time12,time16",,time10,time14,,,,,,,
,L_Berr@gmail.com,Lynn,Berry,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Wednesday,Thursday",,"Monday Afternoon,Monday Evening","Tuesday Afternoon,Tuesday Evening","Wednesday Afternoon,Wednesday Evening","Thursday Afternoon,Thursday Evening",,,miami,,,,,"time14,time16",time18,,"time14,time16",time18,,"time14,time16",time18,,"time14,time16",time18,,,,,,
yes,G_Mont@gmail.com,Grace,Montana,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Wednesday,Friday",,Monday Morning,,Wednesday Afternoon,,"Friday Morning,Friday Afternoon",,miami,,,,time8,,,,,,,time16,,,,,time10,"time12,time14",,,,
no,R_Ray@gmail.com,Rylee,Ray,Baby Boomer (1946-1964),English,-,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Wednesday,Thursday,Friday,Saturday",,"Monday Morning,Monday Afternoon","Tuesday Morning,Tuesday Afternoon",Wednesday Morning,Thursday Morning,Friday Morning,Saturday Morning,miami,,,,,,,,,,"time6,time8,time10",,,"time6,time8,time10",,,"time6,time8,time10",,,"time6,time8,time10",,
yes,E_Doe@gmail.com,Erin,Doe,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima",Wednesday,,,,"Wednesday Morning,Wednesday Afternoon",,,,miami,,,,,,,,,,time10,"time14,time16",,,,,,,,,,
no,A_Donu@gmail.com,Alex,Donut,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Wednesday,Thursday",,Monday Evening,Tuesday Evening,Wednesday Evening,Thursday Evening,,,miami,,,,,,time18,,,time18,,,time18,,,time18,,,,,,
,M_McCa@gmail.com,Morghan,McCandles,Silent Generation (1925-1945),English,,"(GMT -6:00) Central Time (US & Canada), Mexico City","Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Sunday Afternoon,"Monday Morning,Monday Afternoon","Tuesday Morning,Tuesday Afternoon","Wednesday Morning,Wednesday Afternoon,Wednesday Evening","Thursday Morning,Thursday Afternoon,Thursday Evening","Friday Morning,Friday Afternoon,Friday Evening","Saturday Morning,Saturday Afternoon,Saturday Evening",miami,,"time14,time16",,time10,"time12,time14",,time10,"time12,time14,time16",,time10,"time12,time14,time16",time18,time10,"time12,time14,time16","time18,time20",time10,"time12,time14,time16",time18,time10,"time12,time14,time16",time18
no,M_Pete@gmail.com,Milicent,Peterson,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima",Wednesday,,,,Wednesday Afternoon,,,,miami,,,,,,,,,,,,,,,,,,,,,
yes,B_Till@gmail.com,Billy,Tilly,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Saturday",,Monday Afternoon,,,,,Saturday Afternoon,miami,,,,,time16,,,,,,,,,,,,,,,"time14,time16",
yes,J_Finc@gmail.com,John,Finch,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Wednesday,Thursday",,Monday Afternoon,,Wednesday Afternoon,Thursday Afternoon,,,miami,,,,,time14,,,,,,time14,,,time14,,,,,,,
yes,J_Spea@gmail.com,Jane,Spears,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Wednesday,Thursday",,Monday Afternoon,Tuesday Afternoon,Wednesday Afternoon,"Thursday Morning,Thursday Afternoon",,,miami,,,,,"time12,time14",,,"time12,time14",,,"time12,time14",,time10,time12,,,,,,,
yes,C_Box@gmail.com,Chris,Box,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Wednesday","Sunday Afternoon,Sunday Evening",Monday Afternoon,,Wednesday Afternoon,,,,miami,,time16,time18,,time14,,,,,,time14,,,,,,,,,,
no,L_Tree@gmail.com,Lizzie,Tree,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Thursday,Friday",,"Monday Morning,Monday Afternoon",,Wednesday Morning,Thursday Evening,Friday Evening,,miami,,,,"time6,time8,time10","time12,time14,time16",,,,,,,,,,"time18,time20",,,"time18,time20",,,
yes,B_Wall@gmail.com,Bess,Wall,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Wednesday,Friday,Saturday","Sunday Afternoon,Sunday Evening",Monday Evening,,"Wednesday Afternoon,Wednesday Evening",,"Friday Morning,Friday Afternoon","Saturday Afternoon,Saturday Evening",miami,,"time12,time14,time16",time18,,,time20,,,,,,time18,,,,"time8,time10","time12,time14",,,"time14,time16",time18
yes,A_Smit@gmail.com,Atticus,Smith,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Thursday",,,,,,,,miami,,,,,,,,,,,,,,,,,,,,,
,B_List@gmail.com,Brittney,List,Silent Generation (1925-1945),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Wednesday,Thursday,Friday",,"Monday Morning,Monday Afternoon,Monday Evening",,"Wednesday Morning,Wednesday Evening","Thursday Morning,Thursday Afternoon,Thursday Evening","Friday Morning,Friday Afternoon,Friday Evening",,miami,,,,"time6,time8,time10","time12,time14,time16",time18,,,,"time6,time8,time10",,time18,"time6,time8,time10","time12,time14,time16",time18,time6,"time12,time14,time16",time18,,,
no,T_Pers@gmail.com,Taylor,Person,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Wednesday",,Monday Afternoon,,Wednesday Afternoon,,,,myaamia,,,,,time12,,,,,,time12,,,,,,,,,,
no,G_Cup@gmail.com,Gerard,Cup,Baby Boomer (1946-1964),English,-,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima",Thursday,,Monday Afternoon,Tuesday Afternoon,Wednesday Afternoon,Thursday Afternoon,Friday Morning,,miami,,,,,,,,,,,,,,"time12,time14,time16",,,,,,,
yes,F_Spoo@gmail.com,Fig,Spoon,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Wednesday,Friday",,"Monday Afternoon,Monday Evening",,"Wednesday Afternoon,Wednesday Evening",,"Friday Morning,Friday Afternoon",,miami,,,,,time16,time18,,,,,time16,time18,,,,time10,"time12,time14,time16",,,,
,A_Fork@gmail.com,Adaine,Fork,Gen Z or younger (1998 or after),English,,(GMT -8:00) Pacific Time (US & Canada),Friday,,,,,,Friday Afternoon,,sanfrancisco,,,,,,,,,,,,,,,,,time14,,,,
yes,F_Knif@gmail.com,Fabian,Knife,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Wednesday,Thursday",,Monday Afternoon,Tuesday Afternoon,Wednesday Morning,Thursday Afternoon,,,miami,,,,,time12,,,time12,,time8,,,,time12,,,,,,,
yes,R_Plat@gmail.com,Riz,Plate,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Wednesday,Thursday,Friday",,Monday Afternoon,Tuesday Morning,Wednesday Afternoon,"Thursday Morning,Thursday Afternoon","Friday Afternoon,Friday Evening",,miami,,,,,time14,,time10,,,,time14,,time10,"time12,time14",,,"time12,time14,time16",time18,,,
no,B_Bowl@gmail.com,Biz,Bowl,Baby Boomer (1946-1964),English,English,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Tuesday,Wednesday,Thursday",,,Tuesday Afternoon,Wednesday Afternoon,Thursday Afternoon,Friday Afternoon,,miami,,"time12,time14,time16",,,,,,"time12,time14,time16",,,"time12,time14,time16",,,"time12,time14,time16",,,,,,,
,B_Cand@gmail.com,Bonk,Candle,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Wednesday,Thursday",Sunday Morning,Monday Morning,Tuesday Morning,Wednesday Morning,Thursday Morning,Friday Morning,,miami,,,,"time6,time8",,,"time6,time8,time10",,,"time6,time8,time10",,,"time6,time8,time10",,,,,,,,
yes,L_Wick@gmail.com,Lilly,Wick,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Wednesday,Thursday,Friday,Saturday","Sunday Morning,Sunday Afternoon,Sunday Evening","Monday Afternoon,Monday Evening",,Wednesday Afternoon,,"Friday Morning,Friday Afternoon","Saturday Morning,Saturday Afternoon",miami,time10,"time12,time14,time16",time18,,time12,,,,,,time12,,,,,time10,time12,,time10,"time12,time14",
yes,C_Chai@gmail.com,Charlie,Chair,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Tuesday,Thursday,Friday","Sunday Afternoon,Sunday Evening",,"Tuesday Morning,Tuesday Afternoon",,"Thursday Morning,Thursday Afternoon",Friday Afternoon,,miami,,"time14,time16",,,,,time10,time12,,,,,time10,time12,,,time14,,,,
no,B_Tabl@gmail.com,Brian,Table,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Wednesday",,Monday Morning,,Wednesday Morning,,,,miami,,,,time10,,,,,,time10,,,,,,,,,,,
yes,J_Mous@gmail.com,Jake,Mouse,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Tuesday,Wednesday,Thursday,Saturday","Sunday Afternoon,Sunday Evening",Monday Evening,"Tuesday Morning,Tuesday Evening",Wednesday Morning,"Thursday Morning,Thursday Evening",,Saturday Afternoon,miami,,"time12,time14,time16","time18,time20",,,"time18,time20",time10,,"time18,time20",time10,,,time10,,"time18,time20",,,,,"time12,time14,time16",
no,M_Rat@gmail.com,Mattie,Rat,Gen Z or younger (1998 or after),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Monday,Tuesday,Wednesday",,Monday Afternoon,Tuesday Afternoon,Wednesday Afternoon,,,,miami,,,,,time16,,,time16,,,time16,,,,,,,,,,
no,C_Elep@gmail.com,Cilian,Elephant,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima",Saturday,,,,,,,Saturday Morning,miami,,,,,,,,,,,,,,,,,,,time8,,
,T_Hors@gmail.com,Tilda,Horse,Baby Boomer (1946-1964),English,,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Sunday Evening,"Monday Morning,Monday Afternoon","Tuesday Morning,Tuesday Afternoon","Wednesday Morning,Wednesday Afternoon","Thursday Morning,Thursday Afternoon","Friday Morning,Friday Afternoon",Saturday Morning,miami,,,,"time6,time8,time10","time12,time14,time16",,"time6,time8,time10","time12,time14,time16",,"time6,time8,time10","time12,time14,time16",,"time6,time8,time10","time12,time14,time16",,"time6,time8,time10","time12,time14,time16",,"time6,time8,time10",,
yes,R_Alpa@gmail.com,Ron,Alpaca,Gen Z or younger (1998 or after),"English,Chinese",,"(GMT -5:00) Eastern Time (US & Canada), Bogota, Lima","Sunday,Monday,Saturday",Sunday Afternoon,Monday Afternoon,,,,,Saturday Afternoon,miami,,"time12,time14",,,"time12,time14",,,,,,,,,,,,,,,"time12,time14",
